Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,8,Albania,5510,Production,1330,Grapes,2023,2023,t,179705.3,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,1330,Grapes,2024,2024,ha,9358,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,1330,Grapes,2024,2024,t,183422.87,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),1995,1995,ha,68870,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),1995,1995,t,215566,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),1996,1996,ha,65654,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),1996,1996,t,214059,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),1997,1997,ha,61145,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),1997,1997,t,194818,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),1998,1998,ha,56599,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),1998,1998,t,189130,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),1999,1999,ha,55000,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),1999,1999,t,206000,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),2000,2000,ha,53000,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),2000,2000,t,205700,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),2001,2001,ha,52000,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),2001,2001,t,198300,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),2002,2002,ha,50000,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),2002,2002,t,197300,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),2003,2003,ha,48336,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),2003,2003,t,206900,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),2004,2004,ha,46800,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),2004,2004,t,216200,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),2005,2005,ha,48391,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),2005,2005,t,219900,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),2006,2006,ha,48971,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),2006,2006,t,245400,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),2007,2007,ha,46200,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),2007,2007,t,215900,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),2008,2008,ha,49000,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),2008,2008,t,245000,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),2009,2009,ha,47600,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),2009,2009,t,265100,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),2010,2010,ha,54200,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),2010,2010,t,362000,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),2011,2011,ha,61200,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),2011,2011,t,366400,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),2012,2012,ha,53500,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),2012,2012,t,360000,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),2013,2013,ha,53500,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),2013,2013,t,372000,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),2014,2014,ha,55000,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),2014,2014,t,380000,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),2015,2015,ha,54600,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),2015,2015,t,380000,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),2016,2016,ha,58528,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),2016,2016,t,379714,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),2017,2017,ha,58060,A,Official figure,
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (corn),2017,2017,t,381059,A,Official figure,
QCL,Crops and livestock products,8,Albania,5312,Area harvested,112,Maize (corn),2018,2018,ha,54115,A,Official figure,
